Unite;Semaine;Horaire;Idle;Typele;IdEns;IdProf;IdDiv;IdGrp;IdContle
U241;A;SAM1;004;Cours;ENS319;PRF004;999;GRP3191;CS1904c62
U242;999;MAM3;093;Cours;ENS319;PRF004;999;GRP3192;CS1904c63
U243;999;LUS1;005;Cours;ENS319;PRF004;999;GRP3192;CS1904c63
U244;A;MAS2;013;Cours;ENS319;PRF004;999;GRP3192;CS1904c63
U245;999;MEM3;003;Cours;ENS019;PRF014;999;GRP0191;CS1914c64
U246;999;SAM1;092;Cours;ENS019;PRF014;999;GRP0191;CS1914c64
U247;A;JES1;010;Cours;ENS019;PRF014;999;GRP0191;CS1914c64
U248;999;MAS3;009;Cours;ENS220;PRF002;999;GRP2201;CS2002c65
U249;999;MAM4;094;Cours;ENS220;PRF002;999;GRP2201;CS2002c65
U250;A;JEM4;014;Cours;ENS220;PRF002;999;GRP2201;CS2002c65
U251;999;VES2;097;Cours;ENS220;PRF002;999;GRP2202;CS2002c66
U252;999;LUS2;013;Cours;ENS220;PRF002;999;GRP2202;CS2002c66
U253;A;MEM2;098;Cours;ENS220;PRF002;999;GRP2202;CS2002c66
U254;999;LUS2;007;Cours;ENS320;PRF004;999;GRP3201;CS2004c67
U255;999;LUM3;002;Cours;ENS320;PRF004;999;GRP3201;CS2004c67
U256;A;VES2;007;Cours;ENS320;PRF004;999;GRP3201;CS2004c67
U257;999;JEM4;005;Cours;ENS320;PRF004;999;GRP3202;CS2004c68
U258;999;SAM4;092;Cours;ENS320;PRF004;999;GRP3202;CS2004c68
U259;A;MEM2;096;Cours;ENS320;PRF004;999;GRP3202;CS2004c68
U381;A;LUM2;023;TP;ENS022;PRF001;DIV002;GRP002PSV1;CS2010076
U382;B;LUM2;022;TP;ENS022;PRF001;DIV002;GRP002PSV2;CS2010077
U383;A;VEM1;019;TP;ENS022;PRF001;DIV012;GRP012PSV1;CS2010178
U384;A;VEM2;019;TP;ENS022;PRF001;DIV012;GRP012PSV2;CS2010179
U385;A;MEM2;019;TP;ENS022;PRF001;DIV022;GRP022PSV1;CS2010280
U386;A;JES1;020;TP;ENS022;PRF001;DIV022;GRP022PSV2;CS2010281
U260;999;LUS2;097;Cours;ENS020;PRF014;999;GRP0201;CS2014c69
U261;999;VES2;002;Cours;ENS020;PRF014;999;GRP0201;CS2014c69
U262;A;JEM4;003;Cours;ENS020;PRF014;999;GRP0201;CS2014c69
U263;999;MAS3;901;Cours;ENS021;PRF017;DIV001;999;CS2117c70
U264;999;SAM2;015;Cours;ENS021;PRF017;DIV001;999;CS2117c70
U265;999;VES3;096;Cours;ENS021;PRF017;DIV011;999;CS2117c71
U266;999;MAM1;096;Cours;ENS021;PRF017;DIV011;999;CS2117c71
U267;999;MAM3;199;Cours;ENS021;PRF017;DIV021;999;CS2117c72
U268;999;MEM1;012;Cours;ENS021;PRF017;DIV021;999;CS2117c72
U269;999;SAM1;901;Cours;ENS022;PRF001;DIV002;999;CS2201c73
U270;999;JEM3;008;Cours;ENS022;PRF001;DIV012;999;CS2201c74
U271;999;MAM3;092;Cours;ENS022;PRF001;DIV022;999;CS2201c75
U272;999;VEM4;813;Cours;ENS023;PRF001;DIV003;999;CS2301c76
U273;999;VES2;010;Cours;ENS023;PRF001;DIV013;999;CS2301c77
U274;999;LUM4;007;Cours;ENS023;PRF001;DIV023;999;CS2301c78
U275;999;LUS1;098;Cours;ENS024;PRF001;DIV004;999;CS2401c79
U276;999;SAM2;006;Cours;ENS024;PRF001;DIV014;999;CS2401c80
U277;999;MEM3;199;Cours;ENS024;PRF001;DIV024;999;CS2401c81
U278;999;MAM1;008;Cours;ENS025;PRF019;DIV002;999;CS2519c82
U279;999;VEM3;010;Cours;ENS025;PRF019;DIV012;999;CS2519c83
U280;999;SAM4;001;Cours;ENS025;PRF019;DIV022;999;CS2519c84
U281;999;JES2;199;Cours;ENS026;PRF019;DIV003;999;CS2619c85
U282;999;JEM2;008;Cours;ENS026;PRF019;DIV013;999;CS2619c86
U283;999;JEM1;009;Cours;ENS026;PRF019;DIV023;999;CS2619c87
U284;999;LUM1;013;Cours;ENS027;PRF019;DIV004;999;CS2719c88
U285;999;JES1;003;Cours;ENS027;PRF019;DIV014;999;CS2719c89
U286;999;MAS1;092;Cours;ENS027;PRF019;DIV024;999;CS2719c90
U300;999;LUS2;026;Informatique;ENS028;PRF007;DIV002;999;CS2807025
U301;A;VES3;029;Informatique;ENS028;PRF007;DIV002;999;CS2807025
U302;999;MEM4;026;Informatique;ENS028;PRF007;DIV012;999;CS2807026
U303;A;JES2;026;Informatique;ENS028;PRF007;DIV012;999;CS2807026
U304;999;JEM4;028;Informatique;ENS028;PRF007;DIV022;999;CS2807027
U305;A;MAM1;028;Informatique;ENS028;PRF007;DIV022;999;CS2807027
U306;999;LUS1;027;Informatique;ENS029;PRF007;DIV003;999;CS2907028
U307;A;LUM3;028;Informatique;ENS029;PRF007;DIV003;999;CS2907028
U308;999;MAM2;028;Informatique;ENS029;PRF007;DIV013;999;CS2907029
U309;A;VEM4;028;Informatique;ENS029;PRF007;DIV013;999;CS2907029
U310;999;LUM2;026;Informatique;ENS029;PRF007;DIV023;999;CS2907030
U311;A;VEM3;028;Informatique;ENS029;PRF007;DIV023;999;CS2907030
U312;999;MEM1;026;Informatique;ENS030;PRF007;DIV004;999;CS3007031
U313;A;JEM1;026;Informatique;ENS030;PRF007;DIV004;999;CS3007031
U314;999;MAS1;026;Informatique;ENS030;PRF007;DIV014;999;CS3007032
U315;A;VEM1;029;Informatique;ENS030;PRF007;DIV014;999;CS3007032
U316;999;JEM2;029;Informatique;ENS030;PRF007;DIV024;999;CS3007033
U317;A;LUM4;027;Informatique;ENS030;PRF007;DIV024;999;CS3007033
U387;A;MAS2;019;TP;ENS023;PRF001;DIV003;GRP003PSV1;CS3010082
U388;A;JEM2;017;TP;ENS023;PRF001;DIV003;GRP003PSV2;CS3010083
U389;A;JES2;024;TP;ENS023;PRF001;DIV013;GRP013PSV1;CS3010184
U390;A;SAM4;021;TP;ENS023;PRF001;DIV013;GRP013PSV2;CS3010185
U391;A;LUM3;022;TP;ENS023;PRF001;DIV023;GRP023PSV1;CS3010286
U392;A;LUM1;021;TP;ENS023;PRF001;DIV023;GRP023PSV2;CS3010287
U330;999;JEM1;034;Sport;ENS031;PRF008;DIV011;999;CS3108034
U331;999;VEM4;032;Sport;ENS031;PRF008;DIV011;999;CS3108034
U332;999;LUM1;032;Sport;ENS031;PRF008;DIV011;999;CS3108046
U333;999;VEM1;034;Sport;ENS031;PRF008;DIV011;999;CS3108046
U334;999;SAM3;034;Sport;ENS031;PRFa1b2;DIV001;999;CS311b035
U335;999;MEM1;032;Sport;ENS031;PRFa1b2;DIV001;999;CS311b035
U340;999;LUM3;033;Sport;ENS031;PRFa1b2;DIV021;999;CS311b036
U341;999;MAM2;036;Sport;ENS031;PRFa1b2;DIV021;999;CS311b036
U336;999;MAM1;034;Sport;ENS031;PRFa1b2;DIV001;999;CS311b047
U337;999;VEM3;031;Sport;ENS031;PRFa1b2;DIV001;999;CS311b047
U338;999;MEM3;034;Sport;ENS031;PRFa1b2;DIV021;999;CS311b048
U339;999;VEM4;031;Sport;ENS031;PRFa1b2;DIV021;999;CS311b048
U343;999;SAM4;032;Sport;ENS032;PRF008;DIV012;999;CS3208037
U344;999;LUS2;034;Sport;ENS032;PRF008;DIV012;999;CS3208037
U342;999;MAM1;032;Sport;ENS032;PRF008;DIV012;999;CS3208049
U346;999;JEM1;032;Sport;ENS032;PRFa1b2;DIV002;999;CS321b038
U347;999;VEM2;034;Sport;ENS032;PRFa1b2;DIV002;999;CS321b038
U348;999;LUM2;035;Sport;ENS032;PRFa1b2;DIV022;999;CS321b039
U349;999;JEM3;035;Sport;ENS032;PRFa1b2;DIV022;999;CS321b039
U345;999;VEM1;033;Sport;ENS032;PRFa1b2;DIV002;999;CS321b050
U350;999;VES1;033;Sport;ENS032;PRFa1b2;DIV022;999;CS321b051
U351;999;JES3;036;Sport;ENS033;PRF008;DIV003;999;CS3308040
